# case	scope	current	incoming	action	next
surface_snapshot_accept	surface	none	generation=9,scene_rev=1,valid	install_atomic,ack=1	generation=9,scene_rev=1
surface_duplicate_accept	surface	generation=9,scene_rev=4	scene_rev=4,same_hash	do_not_reapply,ack=4	unchanged
surface_conflict_drop	surface	generation=9,scene_rev=4	scene_rev=4,different_hash	reject=conflict,drop_surface,request_snapshot	no_surface
surface_gap_resnapshot	surface	generation=9,scene_rev=4	base=4,next=6	reject=gap,request_snapshot	unchanged
surface_stale_drop	surface	generation=9,scene_rev=4	base=2,next=3	reject=stale,request_snapshot	unchanged
generation_stale_drop	surface	generation=9,scene_rev=4	generation=8,scene_rev=5	drop_no_ack	unchanged
collection_patch_accept	collection	collection=diag,rev=7	base=7,next=8,valid	apply_atomic,ack=8	collection=diag,rev=8
collection_gap_isolated	collection	collection=diag,rev=7	base=7,next=9	reject=gap,drop_collection,request_collection_snapshot	collection=diag,unavailable
append_queue_full	collection	collection=log,rev=20	base=20,next=21,append,queue_full	reject=backpressure,request_collection_snapshot	collection=log,rev=20
replaceable_queue_full	collection	collection=status,rev=20	base=20,next=21,replaceable	coalesce_only_if_explicit	collection=status,pending=21
viewer_request_accept	viewer	viewer=a1,request_seq=11	viewer=a1,request_seq=12,bound_connection=true	deliver_to_runbook	viewer=a1,request_seq=12
viewer_stale_drop	viewer	viewer=a1,request_seq=12	viewer=a1,request_seq=11	drop_no_delivery	unchanged
viewer_wrong_connection_drop	viewer	viewer=a1,request_seq=12	viewer=a1,request_seq=13,bound_connection=false	drop_no_delivery	unchanged
viewer_unsolicited_projection_drop	viewer	viewer=a1,no_outstanding_request	viewer=a1,request_seq=14,projection	drop_no_install	unchanged
viewer_local_scroll_isolated	viewer	viewer=a1,offset=20;viewer=b2,offset=3	viewer=a1,request_seq=14,scroll=down	update_viewer=a1_only	viewer=a1,offset=21;viewer=b2,offset=3
passive_click_no_action	input	focus=passive	press_release=same_node,movement=0	focus_pane_only,no_app_event	focus=passive
focused_click_activate	input	focus=rich,scene_rev=4	press_release=same_node,movement=3,scene_rev=4	deliver_activation	focus=rich
focused_drag_select	input	focus=rich	press_release=same_node,movement=4	cancel_activation,host_select	focus=rich
shift_drag_select	input	focus=rich	shift=true,drag=true	cancel_activation,host_select	focus=rich
stale_action_drop	input	focus=rich,scene_rev=5	activation_scene_rev=4	drop_no_delivery	unchanged
detach_revokes_viewer	viewer	viewer=a1,focus=rich	detach	destroy_viewer_state,drop_outstanding	viewer=absent
surface_drop_primary_fallback	fallback	workspace=active,screen=primary	malformed_surface	remove_dock,resize_full_pty,emit_one_record,line_prompt	workspace=absent,screen=primary
too_small_decline	geometry	H=12,W=80	request=min5,pref12,max24	decline_workspace,no_pty_reservation	pty=12x80
controller_resize_accept	geometry	H=30,W=100,controller=c1	request=min5,pref12,max24,viewer=c1	reserve=12,pty=18x100,send_sigwinch	dock=12,pty=18x100
observer_resize_drop	geometry	controller=c1	request=resize,viewer=o2	drop_geometry_request,clip_or_pad_observer	unchanged
controller_transfer_resize	geometry	controller=c1,dock=12,pty=18x100	lease_transfer=c1_to_c2,then_resize=H24xW80	keep_old_until_resize,then_resolve_dock,send_sigwinch	controller=c2,dock=12,pty=12x80
runbook_crash_reap	process	task_guard=live,task_pgid=700	runbook_pipe=eof	term_pgid,wait_ms=2000,kill_survivors,reap	pgid=absent
